PERMNO,date,TICKER,COMNAM,PERMCO,PRC,RET,CFACPR,RETX,sprtrn
12490,19990506,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,209.25000,-0.012422,2,-0.013553,-0.011326
12490,19990507,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,217.25000,0.038232,2,0.038232,0.009722
12490,19990510,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,218.62500,0.006329,2,0.006329,-0.003494
12490,19990511,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,221.00000,0.010863,2,0.010863,0.011423
12490,19990512,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,225.50000,0.020362,2,0.020362,0.006189
12490,19990513,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,246.00000,0.090909,2,0.090909,0.002610
12490,19990514,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,239.25000,-0.027439,2,-0.027439,-0.021761
12490,19990517,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,237.50000,-0.007315,2,-0.007315,0.001263
12490,19990518,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,238.50000,0.004211,2,0.004211,-0.004606
12490,19990519,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,235.87500,-0.011006,2,-0.011006,0.008183
12490,19990520,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,232.87500,-0.012719,2,-0.012719,-0.004017
12490,19990521,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,230.37500,-0.010735,2,-0.010735,-0.006379
12490,19990524,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,223.75000,-0.028757,2,-0.028757,-0.017771
12490,19990525,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,221.18750,-0.011453,2,-0.011453,-0.017028
12490,19990526,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,236.25000,0.068098,2,0.068098,0.015852
12490,19990527,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,116.00000,-0.017989,1,-0.017989,-0.017896
12490,19990528,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,116.00000,0.000000,1,0.000000,0.015943
12490,19990601,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,112.00000,-0.034483,1,-0.034483,-0.005823
12490,19990602,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,113.75000,0.015625,1,0.015625,0.000425
12490,19990603,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,112.93750,-0.007143,1,-0.007143,0.003653
12490,19990604,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,116.00000,0.027117,1,0.027117,0.021708
12490,19990607,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,120.50000,0.038793,1,0.038793,0.005099
