SYMBOL,DATE,TIME,BID,OFR
GOOG,20131104,12:00:00,1025.28,1025.84
GOOG,20131104,12:00:00,1025.38,1029.82
GOOG,20131104,12:00:00,1025.38,0
GOOG,20131104,12:00:00,1024.5,1025.84
GOOG,20131104,12:00:00,1024.5,1025.83
GOOG,20131104,12:00:01,1025.26,1025.83
GOOG,20131104,12:00:02,1025.26,1025.98
GOOG,20131104,12:00:02,1025.3,1025.98
GOOG,20131104,12:00:03,1024.5,1025.98
GOOG,20131104,12:00:03,1024.5,1025.85
GOOG,20131104,12:00:03,1020.57,1029.82
GOOG,20131104,12:00:04,1025.28,1025.85
GOOG,20131104,12:00:04,1025.38,1029.82
GOOG,20131104,12:00:04,1025.28,1025.98
GOOG,20131104,12:00:05,1025.41,1025.8
GOOG,20131104,12:00:05,0,0
GOOG,20131104,12:00:05,1025.41,0
GOOG,20131104,12:00:05,1020.57,1029.82
GOOG,20131104,12:00:05,1025.28,1025.99
GOOG,20131104,12:00:05,1024.5,1025.99
GOOG,20131104,12:00:05,1025.33,1025.99
GOOG,20131104,12:00:05,1025.33,1025.9
GOOG,20131104,12:00:05,1025.41,1029.82
GOOG,20131104,12:00:06,1024.78,1026
GOOG,20131104,12:00:06,1025.33,1025.89
GOOG,20131104,12:00:06,1025.33,1025.99
GOOG,20131104,12:00:06,1025.41,1025.99
GOOG,20131104,12:00:06,1025.41,1029.82
GOOG,20131104,12:00:08,1025.41,1026.4
GOOG,20131104,12:00:08,1025.41,1025.99
GOOG,20131104,12:00:08,1025.41,1025.8
GOOG,20131104,12:00:08,1025.23,1026.38
GOOG,20131104,12:00:09,1025.23,1026.43
GOOG,20131104,12:00:15,1025.41,1025.8
GOOG,20131104,12:00:15,1025.41,1029.82
GOOG,20131104,12:00:26,1025.23,1026.13
GOOG,20131104,12:00:26,1025.41,1026.05
GOOG,20131104,12:00:26,0,0
GOOG,20131104,12:00:26,1025.41,1029.82
GOOG,20131104,12:00:26,1025.6,1026
GOOG,20131104,12:00:26,1025.41,1029.82
GOOG,20131104,12:00:26,1025.53,1026.05
GOOG,20131104,12:00:26,1020.57,1029.82
GOOG,20131104,12:00:26,1025.53,1026.4
GOOG,20131104,12:00:26,1024.7,1026.4
