PERMNO,date,TICKER,PRC
11308,19700102,KO,82.25000
11308,19700105,KO,81.00000
11308,19700106,KO,81.75000
11308,19700107,KO,82.25000
11308,19700108,KO,82.37500
11308,19700109,KO,82.00000
11308,19700112,KO,82.75000
11308,19700113,KO,83.50000
11308,19700114,KO,84.00000
11308,19700115,KO,84.75000
11308,19700116,KO,85.00000
11308,19700119,KO,85.25000
11308,19700120,KO,86.00000
11308,19700121,KO,86.00000
11308,19700122,KO,86.00000
11308,19700123,KO,84.00000
11308,19700126,KO,82.87500
11308,19700127,KO,82.25000
11308,19700128,KO,83.50000
11308,19700129,KO,82.12500
11308,19700130,KO,79.25000
11308,19700202,KO,79.75000
11308,19700203,KO,82.37500
11308,19700204,KO,82.50000
11308,19700205,KO,82.12500
11308,19700206,KO,82.12500
11308,19700209,KO,83.00000
11308,19700210,KO,82.00000
11308,19700211,KO,82.00000
11308,19700212,KO,81.50000
11308,19700213,KO,80.75000
11308,19700216,KO,80.25000
11308,19700217,KO,80.75000
11308,19700218,KO,80.75000
11308,19700219,KO,81.00000
11308,19700220,KO,81.75000
11308,19700224,KO,81.37500
11308,19700225,KO,82.75000
11308,19700226,KO,82.00000
11308,19700227,KO,82.87500
11308,19700302,KO,83.00000
11308,19700303,KO,83.12500
11308,19700304,KO,84.00000
11308,19700305,KO,83.37500
11308,19700306,KO,84.00000
11308,19700309,KO,83.00000
11308,19700310,KO,82.00000
11308,19700311,KO,82.00000
11308,19700312,KO,82.00000
11308,19700313,KO,81.62500
11308,19700316,KO,80.37500
11308,19700317,KO,81.00000
11308,19700318,KO,79.12500
11308,19700319,KO,79.75000
11308,19700320,KO,79.25000
11308,19700323,KO,78.75000
11308,19700324,KO,79.00000
11308,19700325,KO,79.50000
11308,19700326,KO,80.12500
11308,19700330,KO,80.50000
11308,19700331,KO,80.25000
11308,19700401,KO,80.37500
11308,19700402,KO,80.25000
11308,19700403,KO,79.50000
11308,19700406,KO,78.50000
11308,19700407,KO,79.00000
11308,19700408,KO,77.75000
11308,19700409,KO,78.00000
11308,19700410,KO,76.37500
11308,19700413,KO,75.12500
11308,19700414,KO,74.75000
11308,19700415,KO,76.00000
11308,19700416,KO,75.75000
11308,19700417,KO,77.50000
11308,19700420,KO,77.12500
11308,19700421,KO,77.12500
11308,19700422,KO,76.50000
11308,19700423,KO,75.50000
11308,19700424,KO,75.50000
11308,19700427,KO,73.50000
11308,19700428,KO,72.62500
11308,19700429,KO,74.25000
11308,19700430,KO,73.75000
11308,19700501,KO,72.75000
11308,19700504,KO,71.00000
11308,19700505,KO,68.50000
11308,19700506,KO,69.50000
11308,19700507,KO,71.00000
11308,19700508,KO,71.75000
11308,19700511,KO,72.12500
11308,19700512,KO,71.12500
11308,19700513,KO,70.37500
11308,19700514,KO,70.25000
11308,19700515,KO,70.62500
11308,19700518,KO,71.00000
11308,19700519,KO,69.00000
11308,19700520,KO,65.87500
11308,19700521,KO,64.87500
11308,19700522,KO,66.00000
11308,19700525,KO,63.62500
11308,19700526,KO,64.00000
11308,19700527,KO,68.12500
11308,19700528,KO,70.00000
11308,19700529,KO,71.12500
11308,19700601,KO,75.00000
11308,19700602,KO,74.00000
11308,19700603,KO,74.00000
11308,19700604,KO,74.62500
11308,19700605,KO,72.50000
11308,19700608,KO,72.62500
11308,19700609,KO,71.62500
11308,19700610,KO,71.25000
11308,19700611,KO,70.25000
11308,19700612,KO,69.00000
11308,19700615,KO,68.87500
11308,19700616,KO,72.50000
11308,19700617,KO,71.75000
11308,19700618,KO,73.50000
11308,19700619,KO,74.00000
11308,19700622,KO,72.75000
11308,19700623,KO,72.62500
11308,19700624,KO,71.25000
11308,19700625,KO,71.25000
11308,19700626,KO,71.25000
11308,19700629,KO,69.37500
11308,19700630,KO,69.37500
11308,19700701,KO,69.50000
11308,19700702,KO,71.75000
11308,19700706,KO,70.87500
11308,19700707,KO,70.00000
11308,19700708,KO,72.50000
11308,19700709,KO,71.50000
11308,19700710,KO,73.12500
11308,19700713,KO,72.87500
11308,19700714,KO,71.62500
11308,19700715,KO,71.75000
11308,19700716,KO,71.25000
11308,19700717,KO,72.37500
11308,19700720,KO,72.75000
11308,19700721,KO,73.12500
11308,19700722,KO,72.12500
11308,19700723,KO,72.25000
11308,19700724,KO,71.12500
11308,19700727,KO,71.37500
11308,19700728,KO,70.75000
11308,19700729,KO,71.75000
11308,19700730,KO,73.00000
11308,19700731,KO,72.75000
11308,19700803,KO,71.62500
11308,19700804,KO,71.25000
11308,19700805,KO,70.62500
11308,19700806,KO,70.87500
11308,19700807,KO,71.00000
11308,19700810,KO,69.00000
11308,19700811,KO,69.00000
11308,19700812,KO,68.75000
11308,19700813,KO,66.62500
11308,19700814,KO,66.50000
11308,19700817,KO,66.25000
11308,19700818,KO,67.25000
11308,19700819,KO,68.25000
11308,19700820,KO,68.50000
11308,19700821,KO,69.00000
11308,19700824,KO,71.00000
11308,19700825,KO,71.87500
11308,19700826,KO,72.50000
11308,19700827,KO,72.00000
11308,19700828,KO,72.25000
11308,19700831,KO,71.75000
11308,19700901,KO,72.62500
11308,19700902,KO,72.25000
11308,19700903,KO,73.12500
11308,19700904,KO,71.75000
11308,19700908,KO,73.50000
11308,19700909,KO,73.25000
11308,19700910,KO,73.00000
11308,19700911,KO,72.75000
11308,19700914,KO,72.75000
11308,19700915,KO,71.75000
11308,19700916,KO,71.37500
11308,19700917,KO,71.50000
11308,19700918,KO,71.50000
11308,19700921,KO,71.25000
11308,19700922,KO,71.50000
11308,19700923,KO,72.62500
11308,19700924,KO,74.00000
11308,19700925,KO,75.00000
11308,19700928,KO,75.50000
11308,19700929,KO,75.25000
11308,19700930,KO,74.50000
11308,19701001,KO,74.75000
11308,19701002,KO,75.87500
11308,19701005,KO,78.00000
11308,19701006,KO,81.75000
11308,19701007,KO,80.25000
11308,19701008,KO,77.75000
11308,19701009,KO,76.50000
11308,19701012,KO,76.50000
11308,19701013,KO,76.75000
11308,19701014,KO,78.00000
11308,19701015,KO,77.37500
11308,19701016,KO,78.50000
11308,19701019,KO,77.87500
11308,19701020,KO,78.37500
11308,19701021,KO,77.87500
11308,19701022,KO,79.25000
11308,19701023,KO,79.00000
11308,19701026,KO,79.25000
11308,19701027,KO,79.50000
11308,19701028,KO,79.87500
11308,19701029,KO,78.75000
11308,19701030,KO,78.75000
11308,19701102,KO,79.00000
11308,19701103,KO,79.00000
11308,19701104,KO,79.87500
11308,19701105,KO,79.87500
11308,19701106,KO,80.25000
11308,19701109,KO,80.37500
11308,19701110,KO,82.12500
11308,19701111,KO,82.00000
11308,19701112,KO,81.25000
11308,19701113,KO,81.12500
11308,19701116,KO,81.50000
11308,19701117,KO,81.12500
11308,19701118,KO,80.37500
11308,19701119,KO,80.25000
11308,19701120,KO,81.50000
11308,19701123,KO,81.12500
11308,19701124,KO,82.00000
11308,19701125,KO,83.87500
11308,19701127,KO,83.62500
11308,19701130,KO,83.75000
11308,19701201,KO,83.87500
11308,19701202,KO,84.25000
11308,19701203,KO,85.62500
11308,19701204,KO,86.00000
11308,19701207,KO,86.50000
11308,19701208,KO,87.50000
11308,19701209,KO,86.25000
11308,19701210,KO,85.25000
11308,19701211,KO,84.37500
11308,19701214,KO,84.00000
11308,19701215,KO,84.25000
11308,19701216,KO,84.25000
11308,19701217,KO,83.87500
11308,19701218,KO,83.50000
11308,19701221,KO,83.12500
11308,19701222,KO,82.87500
11308,19701223,KO,82.37500
11308,19701224,KO,83.00000
11308,19701228,KO,83.75000
11308,19701229,KO,84.62500
11308,19701230,KO,85.87500
11308,19701231,KO,84.75000
11308,19710104,KO,83.12500
11308,19710105,KO,82.00000
11308,19710106,KO,83.37500
11308,19710107,KO,85.87500
11308,19710108,KO,85.87500
11308,19710111,KO,85.75000
11308,19710112,KO,85.50000
11308,19710113,KO,86.00000
11308,19710114,KO,86.00000
11308,19710115,KO,85.75000
11308,19710118,KO,84.75000
11308,19710119,KO,84.75000
11308,19710120,KO,85.37500
11308,19710121,KO,85.50000
11308,19710122,KO,85.12500
11308,19710125,KO,85.75000
11308,19710126,KO,85.50000
11308,19710127,KO,85.75000
11308,19710128,KO,87.00000
11308,19710129,KO,87.00000
11308,19710201,KO,86.50000
11308,19710202,KO,86.37500
11308,19710203,KO,86.37500
11308,19710204,KO,86.00000
11308,19710205,KO,86.00000
11308,19710208,KO,86.00000
11308,19710209,KO,86.62500
11308,19710210,KO,87.25000
11308,19710211,KO,88.25000
11308,19710212,KO,88.25000
11308,19710216,KO,88.50000
11308,19710217,KO,87.00000
11308,19710218,KO,86.25000
11308,19710219,KO,85.75000
11308,19710222,KO,84.50000
11308,19710223,KO,85.25000
11308,19710224,KO,85.87500
11308,19710225,KO,86.37500
11308,19710226,KO,87.12500
11308,19710301,KO,87.75000
11308,19710302,KO,87.75000
11308,19710303,KO,87.87500
11308,19710304,KO,89.62500
