PERMNO,date,TICKER,PRC
13856,19700102,PEP,52.50000
13856,19700105,PEP,52.75000
13856,19700106,PEP,52.00000
13856,19700107,PEP,51.12500
13856,19700108,PEP,49.62500
13856,19700109,PEP,51.00000
13856,19700112,PEP,51.25000
13856,19700113,PEP,51.00000
13856,19700114,PEP,50.62500
13856,19700115,PEP,49.62500
13856,19700116,PEP,50.37500
13856,19700119,PEP,50.62500
13856,19700120,PEP,50.50000
13856,19700121,PEP,52.00000
13856,19700122,PEP,52.37500
13856,19700123,PEP,52.00000
13856,19700126,PEP,52.37500
13856,19700127,PEP,52.12500
13856,19700128,PEP,53.00000
13856,19700129,PEP,53.00000
13856,19700130,PEP,52.62500
13856,19700202,PEP,52.00000
13856,19700203,PEP,52.62500
13856,19700204,PEP,51.50000
13856,19700205,PEP,51.87500
13856,19700206,PEP,51.87500
13856,19700209,PEP,52.50000
13856,19700210,PEP,52.00000
13856,19700211,PEP,52.50000
13856,19700212,PEP,52.25000
13856,19700213,PEP,52.37500
13856,19700216,PEP,52.50000
13856,19700217,PEP,52.75000
13856,19700218,PEP,53.00000
13856,19700219,PEP,53.12500
13856,19700220,PEP,53.12500
13856,19700224,PEP,53.37500
13856,19700225,PEP,53.62500
13856,19700226,PEP,53.25000
13856,19700227,PEP,53.37500
13856,19700302,PEP,54.75000
13856,19700303,PEP,54.37500
13856,19700304,PEP,54.00000
13856,19700305,PEP,54.50000
13856,19700306,PEP,54.62500
13856,19700309,PEP,54.75000
13856,19700310,PEP,55.50000
13856,19700311,PEP,54.50000
13856,19700312,PEP,54.00000
13856,19700313,PEP,53.00000
13856,19700316,PEP,51.12500
13856,19700317,PEP,50.62500
13856,19700318,PEP,50.25000
13856,19700319,PEP,51.25000
13856,19700320,PEP,52.00000
13856,19700323,PEP,52.00000
13856,19700324,PEP,53.00000
13856,19700325,PEP,53.50000
13856,19700326,PEP,52.25000
13856,19700330,PEP,52.87500
13856,19700331,PEP,53.00000
13856,19700401,PEP,53.25000
13856,19700402,PEP,53.37500
13856,19700403,PEP,52.00000
13856,19700406,PEP,51.75000
13856,19700407,PEP,52.00000
13856,19700408,PEP,51.50000
13856,19700409,PEP,51.87500
13856,19700410,PEP,52.12500
13856,19700413,PEP,51.12500
13856,19700414,PEP,50.25000
13856,19700415,PEP,50.87500
13856,19700416,PEP,50.37500
13856,19700417,PEP,49.87500
13856,19700420,PEP,48.12500
13856,19700421,PEP,48.62500
13856,19700422,PEP,47.62500
13856,19700423,PEP,47.50000
13856,19700424,PEP,47.50000
13856,19700427,PEP,46.75000
13856,19700428,PEP,46.00000
13856,19700429,PEP,46.62500
